,frequency,amplitude
0,12.940848108219502,0.0
1,12.94778956874545,-0.4340597481981457
2,12.968646912922583,-0.8691180824070337
3,13.003519420931475,-1.3061815318870214
4,13.052573879749957,-1.7462726468635639
5,13.116046595816,-2.19043834489711
6,13.194246272758427,-2.639758672318257
7,13.287557826288529,-3.095356138892876
8,13.396447220639239,-3.558405796535228
9,13.521467443061738,-4.0301462638220125
10,13.663265765504528,-4.511891916105482
11,13.822592472108498,-5.005046513822684
12,14.000311283639025,-5.511118574599797
13,14.19741176036451,-6.031738866125841
14,14.415024030561561,-6.568680467265335
15,14.654436278067788,-7.123881946238359
16,14.917115527394573,-7.699474325486245
17,15.20473239312221,-8.297812659121128
18,15.51919063586481,-8.921513256518445
19,15.86266258096184,-9.573497836117216
20,16.237631736947254,-10.257046244700701
21,16.64694432502236,-10.975859809758571
22,17.09387190992133,-11.73413798147401
23,17.582187978832824,-12.53667170622274
24,18.11626216778132,-13.38895800301082
25,18.701177034451934,-14.297341653498728
26,19.342873868507013,-15.269191854861061
27,20.048336294635362,-16.31312437839128
28,20.825823550903042,-17.43928359659312
29,21.685169832670606,-18.65970412754087
30,22.638172550424844,-19.98877967852014
31,23.69910188937932,-21.443878131781155
32,24.88537824826516,-23.04615907631144
33,26.218485807902024,-24.821676083145263
34,27.725224115058506,-26.80288661521178
35,29.439453132379832,-29.030757061489176
36,31.40457466296965,-31.557755848402543
37,33.67714003366438,-34.45220486809231
38,36.332229176036,-37.80476729153657
39,39.47170621036957,-41.738404594975044
40,43.237321663516774,-46.42417889950683
41,47.83234083210217,-52.107338333069244
42,53.55895867918278,-59.15244188105274
43,60.8868060070912,-68.12598216431165
44,70.58753509467353,-79.95870399716033
45,84.02409108965608,-96.2944832213507
46,103.85123537730672,-120.3352000600692
47,136.02124871321328,-159.259737476109
48,197.20958990018022,-233.17977073027546
49,358.7495980854686,-428.12765157211606
50,1986.8621385635652,-2391.847689829881
51,-561.6729023573912,681.7217130560106
52,-246.16061478476547,301.0804758805909
53,-157.69206698197513,194.2696208481935
54,-116.05626944074396,143.94383730142653
